,s1_open,s2_open
959,4.035,8.026
960,4.035,8.242
961,4.073,8.419
962,4.035,8.39
963,4.045,8.832
964,4.064,8.822
965,4.045,8.851
966,4.064,8.999
967,4.083,9.284
968,4.054,9.294
969,4.073,9.254
970,4.054,9.461
971,4.073,9.657
972,4.235,9.529
973,4.207,9.51
974,4.235,9.068
975,4.235,9.136
976,4.321,9.107
977,4.302,9.51
978,4.283,9.117
979,4.34,9.52
980,4.435,9.235
981,4.416,9.244
982,4.387,9.48
983,4.349,9.392
984,4.33,9.628
985,4.292,9.687
986,4.359,9.136
987,4.33,8.94
988,4.444,8.96
989,4.387,8.94
990,4.425,8.94
991,4.425,9.146
992,4.397,9.244
993,4.425,8.576
994,4.406,8.252
995,4.292,8.105
996,4.283,8.213
997,4.273,8.183
998,4.14,8.301
999,4.102,8.517
1000,4.14,8.459
1001,4.111,8.626
1002,4.064,8.272
1003,4.035,8.026
1004,3.969,8.007
1005,4.035,8.007
1006,4.026,8.026
1007,4.054,8.282
1008,4.073,8.272
1009,4.083,8.311
1010,4.121,8.38
1011,4.073,8.409
1012,4.045,8.124
1013,4.054,8.124
1014,4.045,8.183
1015,4.054,8.095
1016,4.092,8.036
1017,4.092,8.124
1018,4.121,8.056
1019,4.13,7.702
1020,4.14,7.81
1021,4.102,7.908
1022,4.073,7.781
1023,4.064,7.663
1024,4.064,7.751
1025,4.045,7.8
1026,4.045,7.938
1027,4.035,7.997
1028,3.95,7.908
1029,3.94,8.105
1030,4.007,8.213
1031,3.969,8.38
1032,3.978,8.498
1033,4.035,8.35
1034,4.045,8.203
1035,3.978,8.252
1036,4.016,8.203
1037,3.988,8.115
1038,3.959,8.115
1039,3.997,8.35
1040,3.988,8.409
1041,3.988,8.724
1042,3.988,8.596
1043,3.978,8.576
1044,3.978,8.35
1045,3.959,8.537
1046,3.969,8.419
1047,3.931,8.478
1048,3.931,8.576
1049,3.969,8.655
1050,3.969,8.586
1051,3.959,8.35
1052,3.988,8.4
1053,3.988,8.626
1054,4.016,8.576
1055,4.026,8.517
1056,4.045,8.626
1057,4.045,8.517
